title,0
Article 1 -- No Title,13372
Birth Notice 1 -- No Title,12239
Article 2 -- No Title,12043
Marriage Announcement 1 -- No Title,11407
Article 3 -- No Title,11302
Article 4 -- No Title,10429
Article 5 -- No Title,9376
Front Page 1 -- No Title,8913
Article 6 -- No Title,8479
Obituary 1 -- No Title,8192
MUSIC NOTES,7539
Article 7 -- No Title,7523
NAVAL STORES,7504
Sports Today,6798
Article 8 -- No Title,6604
&#160,6376
BUSINESS RECORDS,5961
Article 9 -- No Title,5805
Front Page 2 -- No Title,5284
ARRIVAL OF BUYERS,5254
Article 10 -- No Title,4942
&#8220,4830
SHIPPING AND MAILS,4764
Annual meeting,4522
Death Obituary 1 -- No Title,4515
Marriage Announcement 2 -- No Title,4232
Article 11 -- No Title,4231
Election,4170
LIVESTOCK IN CHICAGO,4150
The Proceedings In the U.N.,4102
Obituary 2 -- No Title,4001
FINANCIAL NOTES.,3785
Article 12 -- No Title,3535
Obituary 3 -- No Title,3353
MANHATTAN TRANSFERS,3344
Front Page 3 -- No Title,3266
REAL ESTATE NOTES,3236
Events Today,3197
THEATRICAL NOTES.,3014
Obituary 4 -- No Title,2981
Death,2926
Obituary 5 -- No Title,2858
Article 13 -- No Title,2846
Naval Orders.,2770
Obituary 6 -- No Title,2743
TRANSFERS IN THE BRONX,2742
Meeting,2734
Books Published Today,2731
SHIPPING--MAILS,2730
Army Orders and Assignments.,2715
election,2509
THE TREASURY STATEMENT.,2465
The Proceedings In Washington,2418
Marriage Announcement 3 -- No Title,2416
Article 14 -- No Title,2384
Death Obituary 2 -- No Title,2370
BUILDING PLANS FILED,2346
NEW INCORPORATIONS,2342
MUSIC NOTES.,2299
Summary of the Day,2259
BUSINESS NOTES.,2245
Obituary 7 -- No Title,2244
Of Local Origin,2234
BUSINESS NOTES,2200
Editorial Cartoon 1 -- No Title,2139
The Proceedings In the U. N.,2116
Conv,2091
TREASURY STATEMENT,2083
"Arts, Briefly column",2024
REALTY FINANCING,1990
Topics of The Times,1971
Movements of Naval Vessels.,1971
Treasury Statement,1959
Books--Authors,1948
Article 15 -- No Title,1930
Dividends Announced,1914
Biog,1897
Front Page 4 -- No Title,1880
FINANCIAL NOTES,1878
Int,1877
BUSINESS LEASES,1849
ed Topics of The Times,1845
APARTMENT RENTALS,1837
Previous   Year Key Rates,1831
Money,1822
News Summary and Index,1819
BRONX MORTGAGES FILED,1811
THE DAY IN WASHINGTON,1800
ON TELEVISION,1701
Lottery Numbers. Lottery Numbers,1699
LIVE STOCK AND MEATS.,1695
DIVIDENDS ANNOUNCED,1677
Obituary 8 -- No Title,1675
REAL ESTATE NOTES.,1662
Formed,1580
MONEY,1560
Article 16 -- No Title,1552
comment,1542
Police Department.,1540
Editorial Cartoon 2 -- No Title,1535
Books Today,1527
BUSINESS LEASES.,1498
MONEY.,1490
Radio,1469
MANHATTAN MORTGAGES,1430
BUSINESS WORLD,1411
Marriage Announcement 4 -- No Title,1397
Death Obituary 3 -- No Title,1393
Washington Proceedings,1375
SILVER BULLION.,1361
Ocean Travelers,1351
Sports transactions TRANSACTIONS,1344
Marine Corps Orders.,1341
Commencement,1335
The Civil Service.,1332
CITY BREVITIES.,1331
TOPICS OF THE TIMES.,1313
REALTY FINANCING.,1311
FOREIGN STOCK MARKETS.,1297
Reserve Corps Orders.,1287
Today on the Radio,1269
Article 17 -- No Title,1252
Notes of Social Activities in New York and Elsewhere,1239
A Correction,1232
session,1230
Fire Department.,1217
Major League Baseball,1210
Television,1205
BASEBALL Sports Today,1202
CORPORATE CHANGES,1198
Japanese,1193
Career,1182
commencement,1172
Fire Record,1160
Notes,1156
TODAY ON THE RADIO,1150
hearing,1147
St. Louis,1133
British,1126
APARTMENT LEASES.,1111
Author's Query,1105
Boston,1104
CHAIN STORE SALES,1102
Editorial Cartoon 3 -- No Title,1086
San Francisco,1085
Richmond,1076
SOCIAL NOTES,1067
Fire Records,1055
Death Obituary 4 -- No Title,1044
World News Summarized,1036
Tide Table for Waters Adjacent to New York,1033
Naval Orders,1032
Dallas,1029
Minneapolis,1025
Obituary 9 -- No Title,1022
annual meeting,1017
College and School Results,1011
National Guard Orders,1011
Atlanta,1008
TOPICS IN WALL STREET.,1007
Front Page 5 -- No Title,1003
DIVIDEND MEETINGS TODAY,998
In Memoriam,997
Cleveland,997
Article 18 -- No Title,996
BASKETBALL Sports Today,995
Sports of the Times,994
DIVIDEND NEWS,988
EXECUTIVE CHANGES,986
Kansas City,986
Corrections Corrections,974
LIVE STOCK AT CHICAGO.,968
UTILITY REPORTS,960
LIVE STOCK IN CHICAGO.,944
Deaths,938
biog,935
Police Department,934
North Korean,922
PUBLIC AUTHORITY BONDS,918
United States Supreme Court,915
OTHER COMPANY REPORTS,913
COMMODITY PRICES.,905
Army Orders and Assignments,904
ON RADIO,896
SCREEN NOTES.,895
GRAIN TRADING IN CHICAGO,883
Meets,882
Philadelphia,876
PICTURE CREDITS,857
Italian,857
Finnish,853
Chicago,850
"SUGAR, COFFEE, COCOA.",847
RAILWAY EARNINGS,840
Cabaret Tonight,837
Marriage Announcement 5 -- No Title,835
Offerings and Yields Of Municipal Bonds,827
DIVIDENDS DECLARED.,821
MANHATTAN MORTGAGES.,815
TREND OF STOCK PRICES.,811
"function pop_me_up(pURL, features){new_window = window.open(pURL, ""popup_window"", features)",811
BANK NOTES,805
RADIO,803
correction,795
Article 19 -- No Title,791
Aqueduct Entries,784
Minor Leagues,778
meeting,777
AUCTION RESULTS.,775
FREE CURRENCY RATES,774
SHIPPING MAILS,772
Paperback books of particular interest. Paperback Row,772
Reserve Corps Orders,772
Death Obituary 5 -- No Title,765
TELEVISION,760
Divd DIVIDEND NEWS,756
PRODUCE MARKETS,751
BOOK NOTES,747
Major League Leaders,744
MUNICIPAL LOANS,741
Editorial Cartoon 4 -- No Title,740
Morning Television,734
COMPANY MEETINGS TODAY.,732
State Guard Orders,732
Visible Satellites,728
LOCALLY DRESSED MEATS,723
United States,722
Business World,722
Roosevelt Raceway Entries,712
RADIO TODAY,707
BRONX TRANSFERS,705
TRANSFERS RECORDED.,697
Queries and Answers,690
Correction,687
Fire Department,681
ON THE RADIO,675
Births,675
Por,675
Letters,669
Personal Notes,665
Business Records,664
A collection of links from the reporters and editors of the Dining section. What We’re Reading,663
Books and Authors,655
For Service Men and Women,653
Sports of The Times,652
WASHINGTON&#8212,649
Yonkers Raceway Entries,646
Article 20 -- No Title,636
Today&#8212,628
National Hockey League,623
MONEY AND CREDIT,623
PRODUCE MARKETS.,619
Radio-TV Notes,618
conv,616
Movements of Naval Vessels,616
DAIRY PRODUCTS,613
Recently reviewed books of particular interest. Editors’ Choice,611
COMMODITY PRICES,608
Annual rept,605
Birth Notice 2 -- No Title,604
FUTURE CONTRACTS,598
Highlights from the DealBook newsletter. Morning Take-Out,597
Monologue &#124,595
United Nations,592
Proceedings in the U.N.,592
The Proceedings In Albany,589
conf,586
ACROSS CROSSWORD PUZZLE,585
Principal Assets and Liabilities of Member Banks,583
STOCK EXCHANGE NOTES,580
Feature article,578
Corrections: For the Record Corrections: For the Record,575
opens,570
Marriage Announcement 6 -- No Title,562
Books -- Authors,557
BONDS AND SHARES ON LONDON MARKET,556
A O McCormick comment Abroad,554
MANHATTAN TRANSFERS.,553
Editorial Cartoon 5 -- No Title,553
COMMODITY CASH PRICES,552
Obituary 10 -- No Title,550
EARNINGS.,549
BUILDING PLANS FILED.,547
Death Obituary 6 -- No Title,541
Commencement plans,537
COMPANY MEETINGS TODAY,536
National Guard Orders.,536
BANKRUPTCY PROCEEDINGS Business Records,535
Open Interest Report,534
Roundup of recent advertising account changes (S) Accounts,531
EVENTS TODAY,531
SUBURBAN HOMES RENTED,531
TRANSFERS IN THE BRONX.,526
TRAFFIC ACCIDENTS RISE,524
Customs-Patent Appeals Court,522
Dies,522
The Proceedings in Washington,521
Major Bills in Congress,521
DECLARED DIVIDENDS.,518
Letter to the Editor 1 -- No Title,518
DIVIDENDS DECLARED,512
1 game,507
THE BUSINESS WORLD,507
NAVAL STORES.,506
COMMODITY INDEX UP,506
Article 21 -- No Title,506
National Basketball Ass'n,504
Open Interest,503
GENEVA QUOTATIONS.,503
OCEAN TRAVEL.,498
OTHER CORPORATE REPORTS,497
"Lottery numbers for New York, New Jersey and Connecticut. Lottery Numbers",497
Article 1 ‐‐ No Title,496
BRONX MORTGAGES FILED.,493
Front Page 6 -- No Title,487
MANHATTAN AUCTIONS,486
A Krock comment In The Nation,484
"The value of the dollar on the local foreign exchange market, based on quotations for the French franc on the days indicated, compares as follows. Quotations are in cents:   FOREIGN EXCHANGE",476
Article 3 ‐‐ No Title,470
AUCTION SALES,468
Dividend Meetings,464
Article 2 ‐‐ No Title,463
Ill,463
OTHER UTILITY REPORTS,456
BUYERS IN TOWN,454
Slain,452
Marriage Announcement 7 -- No Title,451
ed TOPICS OF THE TIMES.,451
strike ends,449
EASTERN HOCKEY LEAGUE,449
BRONX BUILDING PLANS.,446
AMERICAN HOCKEY LEAGUE,444
Incoming Shipping/Mails,441
career,439
Vietnam Casualties,439
Today's Probable Pitchers,435
"STOCKS IN LONDON, PARIS AND BERLIN",434
Coast Guard Orders.,434
Bond issue awarded MUNICIPAL LOANS.,432
Editorial Cartoon 6 -- No Title,431
Aqueduct Race Chart,428
Annual dinner,424
Music Radio,423
Ships That Arrived Yesterday,422
Shipping/Mails,421
Article 22 -- No Title,417
Fashion show,415
WESTCHESTER ITEMS.,412
Economic Indicators,412
Yankee Records,410
New Books,407
Readers sound off on the latest headlines. Letters to the Editor,404
Russian,402
CORPORATE CHANGES.,402
Incoming Passenger and Mail Ships,402
Ed TOPICS OF THE TIMES.,401
Here’s what you need to know at the end of the day. Your Evening Briefing,400
Dinner,400
London Wool Sales.,399
A Daley comment Sports of The Times,398
BONDS CALLED FOR REDEMPTION,396
Chinese,395
AUCTIONS IN THE BRONX,394
Article 4 ‐‐ No Title,393
Assets and Liabilities in Central Reserve Cities,391
THE OPENINGS,389
MUNICIPAL LOANS.,387
plans,387
The Civil Service,384
In percent CONSUMER RATES,380
Returns from Eur,379
Theater Tonight,379
WASHINGTON &#8212,377
United States Supreme Court.,375
FINANCIAL MARKETS,375
SECURITIES AT AUCTION.,374
News Summary,373
Outgoing Shipping/Mails,373
MANHATTAN PLANS FILED.,372
Luncheon,371
LIVERPOOL'S COTTON WEEK.,370
Around the Nation,369
Convention,369
Arrives in U S,367
The Region,363
Editorial Cartoon 7 -- No Title,361
Social Activities in New York and Elsewhere,361
LIVERPOOL'S COTTON WEEK,360
Satellite Photograph,360
resolutions,360
RAILROAD EARNINGS.,360
Krock comment In The Nation,358
METAL MARKET REPORT.,355
FRONT PAGE. Corrections,354
PROVISIONS IN CHICAGO.,354
Arts Briefing column,353
Marriages,352
Article 23 -- No Title,352
LATEST RECORDED LEASES.,351
Executive Changes,351
biog sketch,349
Pollen Count,348
Weather in Cotton and Grain States.,346
British Football Results,344
The Proceedings in the U. N.,344
International Loans Listed for Week,342
Public Lives column,341
LEAD:  Debt FINANCE BRIEFS,340
Latest Books,338
death Obituary 1 -- No Title,338
NEW YORK (AP) &#8212,338
Editorial Article 1 -- No Title,337
Aqueduct Jockey Standing,336
AMSTERDAM MARKET,335
Listing of Day's Price Movements in Commodity Futures Contracts,335
arrives,332
NEW INCORPORATIONS.,330
AROUND THE GARDEN,330
FOREIGN EXCHANGE,330
death,330
COMMODITY INDEX OFF,329
Marriage Announcement 8 -- No Title,328
Commercial Leases.,326
annual rept,326
PAPERBOARD OUTPUT UP,325
RADIO CONCERTS,321
Engagements,320
Roosevelt Raceway Results,318
Theater Events Today,318
funeral,316
Notes on People,315
BRONX PROPERTIES SOLD,315
Entertainment Events,315
The City,314
Death Obituary 7 -- No Title,314
FEDERAL RESERVE BANK STATEMENT,313
Meetings for Dividends Listed for This Week,313
BUSINESS Digest,312
COMMERCIAL PAPER.,312
Wills for Probate,311
Accounts,311
UTILITY EARNINGS,310
Article 5 ‐‐ No Title,310
ODD-LOT TRADING HERE,309
CONTRACT AWARDS,309
Obituary 11 -- No Title,309
UTILITY EARNINGS.,308
Elections,308
Article 24 -- No Title,306
"Yesterday's communique, as broadcast from Moscow to the Soviet Union and reported by the Federal Communications Commission:   Russian",305
In percent                                               Previous      Year                               Yesterday       Day       Ago    Key Rates,305
The Cast,304
STOCK MARKET LEADERS,303
BOXING BOUTS TONIGHT.,303
STOCK MARKET INDICES.,302
Music Events Today,301
The International Situation,301
Curves and Bingles,301
Treasure Chest,300
QUEENS REALTY SALES.,300
WESTCHESTER DEALS.,299
dinner,299
Books Authors,298
Ships That Departed Yesterday,298
Outgoing Passenger and Mail Ships,297
BROOKLYN TRADING.,297
RESULTS AT AUCTION.,296
SALES IN NEW JERSEY.,296
Editorial Cartoon 8 -- No Title,295
Ad plans Advertising News and Notes,295
BRITISH CIRCULATION UP,294
Marriage Announcement 9 -- No Title,294
Described,293
Por PROGRAMS OF THE WEEK,293
NEWS OF MARKETS IN EUROPEAN CITIES,293
DEALS IN NEW JERSEY.,292
BUSINESS RECORDS.,292
French,291
Summaries of the Races,290
To the Editor: Letters to the Editor,290
Estates Appraised,290
Letters to The Times,289
DEALS IN WESTCHESTER,289
Conf,288
TROTH ANNOUNCED,287
COMMODITIES STEADY,287
TRAFFIC ACCIDENTS DROP,287
MONTREAL SILVER,286
TODAY'S PROBABLE PITCHERS,285
World News Briefs,284
Roosevelt Driver Standing,284
BASEBALL Pro Transactions,283
LETTERS TO THE EDITOR,282
Unveilings,282
LEAD:  Debt BRIEFS,282
The following information about today's television programs was not available in time to appear in Section 2: Late TV Listings,281
Biog sketch,279
In millions of barrels except refinery utilization U.S. Petroleum Data,278
Mets' Records,277
Monmouth Park Entries,276
Letter to the Editor 2 -- No Title,274
rev,268
JAZZ. Jazz Listings,268
Realty Notes.,266
SHIPPING AND MAILS(2),266
TOPICS IN WALL STREET,266
The winning New Jersey daily lottery number yesterday was: Article 1 ‐‐ No Title,265
Cotton Market,265
OTHER DIVIDEND NEWS,264
Market Averages,264
Article 6 ‐‐ No Title,263
Editorial Cartoon 9 -- No Title,263
illus,263
Reports on Ski Conditions,262
Minor League Baseball,262
NEW YORK. Metro Briefing,262
Foreign Exchange Rates,262
SALES IN WESTCHESTER,261
Catch up on the day’s top stories. Your Evening Briefing,261
,261
AIR MAIL INFORMATION,261
Article 25 -- No Title,260
SHIPPING-MAILS,260
The following tax-exempt fixed-income issues are scheduled for pricing this week. Treasury Auctions Set for This Week,259
FOREIGN EXCHANGE RATES,257
Air Pollution Index,255
elections,255
Dinner Menu For Tonight,254
LONDON METAL MARKET,253
RAILWAY STATEMENTS,253
The U.N. Today,253
ANSWERS TO QUESTIONS ON PAGE 2,252
FOR CHILDREN. Spare Times: For Children,252
conf ends,252
Yonkers Raceway Results,252
United States Court of Claims,251
RECORD OF TRANSACTIONS.,251
FEDERAL OBLIGATIONS,250
Marriage Announcement 10 -- No Title,249
"Our quirky, discerning picks for the most interesting things to do around the state this week. GTT ★",248
